filename,read
202401-bluebikes-tripdata.zip,True
202402-bluebikes-tripdata.zip,True
202403-bluebikes-tripdata.zip,True
202404-bluebikes-tripdata.zip,True
202405-bluebikes-tripdata.zip,True
202406-bluebikes-tripdata.zip,True
202407-bluebikes-tripdata.zip,True
202408-bluebikes-tripdata.zip,True
202409-bluebikes-tripdata.zip,True
202410-bluebikes-tripdata.zip,True
202411-bluebikes-tripdata.zip,True
202412-bluebikes-tripdata.zip,True
202501-bluebikes-tripdata.zip,True
202502-bluebikes-tripdata.zip,True
202503-bluebikes-tripdata.zip,True
202504-bluebikes-tripdata.zip,True
202505-bluebikes-tripdata.zip,True
202506-bluebikes-tripdata.zip,True
202507-bluebikes-tripdata.zip,True
202508-bluebikes-tripdata.zip,True
202509-bluebikes-tripdata.zip,True
202510-bluebikes-tripdata.zip,True
202401-bluebikes-tripdata.zip,True
202402-bluebikes-tripdata.zip,True
202403-bluebikes-tripdata.zip,True
202404-bluebikes-tripdata.zip,True
202405-bluebikes-tripdata.zip,True
202406-bluebikes-tripdata.zip,True
202407-bluebikes-tripdata.zip,True
202408-bluebikes-tripdata.zip,True
202409-bluebikes-tripdata.zip,True
202410-bluebikes-tripdata.zip,True
202411-bluebikes-tripdata.zip,True
202412-bluebikes-tripdata.zip,True
202501-bluebikes-tripdata.zip,True
202502-bluebikes-tripdata.zip,True
202503-bluebikes-tripdata.zip,True
202504-bluebikes-tripdata.zip,True
202505-bluebikes-tripdata.zip,True
202506-bluebikes-tripdata.zip,True
202507-bluebikes-tripdata.zip,True
202508-bluebikes-tripdata.zip,True
202509-bluebikes-tripdata.zip,True
202510-bluebikes-tripdata.zip,True
202401-bluebikes-tripdata.zip,True
202402-bluebikes-tripdata.zip,True
202403-bluebikes-tripdata.zip,True
202404-bluebikes-tripdata.zip,True
202405-bluebikes-tripdata.zip,True
202406-bluebikes-tripdata.zip,True
202407-bluebikes-tripdata.zip,True
202408-bluebikes-tripdata.zip,True
202409-bluebikes-tripdata.zip,True
202410-bluebikes-tripdata.zip,True
202411-bluebikes-tripdata.zip,True
202412-bluebikes-tripdata.zip,True
202501-bluebikes-tripdata.zip,True
202502-bluebikes-tripdata.zip,True
202503-bluebikes-tripdata.zip,True
202504-bluebikes-tripdata.zip,True
202505-bluebikes-tripdata.zip,True
202506-bluebikes-tripdata.zip,True
202507-bluebikes-tripdata.zip,True
202508-bluebikes-tripdata.zip,True
202509-bluebikes-tripdata.zip,True
202510-bluebikes-tripdata.zip,True
202401-bluebikes-tripdata.zip,True
202402-bluebikes-tripdata.zip,True
202403-bluebikes-tripdata.zip,True
202404-bluebikes-tripdata.zip,True
202405-bluebikes-tripdata.zip,True
202406-bluebikes-tripdata.zip,True
202407-bluebikes-tripdata.zip,True
202408-bluebikes-tripdata.zip,True
202409-bluebikes-tripdata.zip,True
202410-bluebikes-tripdata.zip,True
202411-bluebikes-tripdata.zip,True
202412-bluebikes-tripdata.zip,True
202501-bluebikes-tripdata.zip,True
202502-bluebikes-tripdata.zip,True
202503-bluebikes-tripdata.zip,True
202504-bluebikes-tripdata.zip,True
202505-bluebikes-tripdata.zip,True
202506-bluebikes-tripdata.zip,True
202507-bluebikes-tripdata.zip,True
202508-bluebikes-tripdata.zip,True
202509-bluebikes-tripdata.zip,True
202510-bluebikes-tripdata.zip,True
202401-bluebikes-tripdata.zip,True
202402-bluebikes-tripdata.zip,True
202403-bluebikes-tripdata.zip,True
202404-bluebikes-tripdata.zip,True
202405-bluebikes-tripdata.zip,True
202406-bluebikes-tripdata.zip,True
202407-bluebikes-tripdata.zip,True
202408-bluebikes-tripdata.zip,True
202409-bluebikes-tripdata.zip,True
202410-bluebikes-tripdata.zip,True
202411-bluebikes-tripdata.zip,True
202412-bluebikes-tripdata.zip,True
202501-bluebikes-tripdata.zip,True
202502-bluebikes-tripdata.zip,True
202503-bluebikes-tripdata.zip,True
202504-bluebikes-tripdata.zip,True
202505-bluebikes-tripdata.zip,True
202506-bluebikes-tripdata.zip,True
202507-bluebikes-tripdata.zip,True
202508-bluebikes-tripdata.zip,True
202509-bluebikes-tripdata.zip,True
202510-bluebikes-tripdata.zip,True
202401-bluebikes-tripdata.zip,True
202402-bluebikes-tripdata.zip,True
202403-bluebikes-tripdata.zip,True
202404-bluebikes-tripdata.zip,True
202405-bluebikes-tripdata.zip,True
202406-bluebikes-tripdata.zip,True
202407-bluebikes-tripdata.zip,True
202408-bluebikes-tripdata.zip,True
202409-bluebikes-tripdata.zip,True
202410-bluebikes-tripdata.zip,True
202411-bluebikes-tripdata.zip,True
202412-bluebikes-tripdata.zip,True
202501-bluebikes-tripdata.zip,True
202502-bluebikes-tripdata.zip,True
202503-bluebikes-tripdata.zip,True
202504-bluebikes-tripdata.zip,True
202505-bluebikes-tripdata.zip,True
202506-bluebikes-tripdata.zip,True
202507-bluebikes-tripdata.zip,True
202508-bluebikes-tripdata.zip,True
202509-bluebikes-tripdata.zip,True
202510-bluebikes-tripdata.zip,True
202401-bluebikes-tripdata.zip,True
202402-bluebikes-tripdata.zip,True
202403-bluebikes-tripdata.zip,True
202404-bluebikes-tripdata.zip,True
202405-bluebikes-tripdata.zip,True
202406-bluebikes-tripdata.zip,True
202407-bluebikes-tripdata.zip,True
202408-bluebikes-tripdata.zip,True
202409-bluebikes-tripdata.zip,True
202410-bluebikes-tripdata.zip,True
202411-bluebikes-tripdata.zip,True
202412-bluebikes-tripdata.zip,True
202501-bluebikes-tripdata.zip,True
202502-bluebikes-tripdata.zip,True
202503-bluebikes-tripdata.zip,True
202504-bluebikes-tripdata.zip,True
202505-bluebikes-tripdata.zip,True
202506-bluebikes-tripdata.zip,True
202507-bluebikes-tripdata.zip,True
202508-bluebikes-tripdata.zip,True
202509-bluebikes-tripdata.zip,True
202510-bluebikes-tripdata.zip,True
202401-bluebikes-tripdata.zip,True
202402-bluebikes-tripdata.zip,True
202403-bluebikes-tripdata.zip,True
202404-bluebikes-tripdata.zip,True
202405-bluebikes-tripdata.zip,True
202406-bluebikes-tripdata.zip,True
202407-bluebikes-tripdata.zip,True
202408-bluebikes-tripdata.zip,True
202409-bluebikes-tripdata.zip,True
202410-bluebikes-tripdata.zip,True
202411-bluebikes-tripdata.zip,True
202412-bluebikes-tripdata.zip,True
202501-bluebikes-tripdata.zip,True
202502-bluebikes-tripdata.zip,True
202503-bluebikes-tripdata.zip,True
202504-bluebikes-tripdata.zip,True
202505-bluebikes-tripdata.zip,True
202506-bluebikes-tripdata.zip,True
202507-bluebikes-tripdata.zip,True
202508-bluebikes-tripdata.zip,True
202509-bluebikes-tripdata.zip,True
202510-bluebikes-tripdata.zip,True
202401-bluebikes-tripdata.zip,True
202401-bluebikes-tripdata.zip,True
202402-bluebikes-tripdata.zip,True
202402-bluebikes-tripdata.zip,True
202403-bluebikes-tripdata.zip,True
202403-bluebikes-tripdata.zip,True
202404-bluebikes-tripdata.zip,True
202404-bluebikes-tripdata.zip,True
202405-bluebikes-tripdata.zip,True
202405-bluebikes-tripdata.zip,True
202406-bluebikes-tripdata.zip,True
202406-bluebikes-tripdata.zip,True
202407-bluebikes-tripdata.zip,True
202407-bluebikes-tripdata.zip,True
202408-bluebikes-tripdata.zip,True
202408-bluebikes-tripdata.zip,True
202409-bluebikes-tripdata.zip,True
202409-bluebikes-tripdata.zip,True
202410-bluebikes-tripdata.zip,True
202410-bluebikes-tripdata.zip,True
202411-bluebikes-tripdata.zip,False
202411-bluebikes-tripdata.zip,False
202412-bluebikes-tripdata.zip,True
202412-bluebikes-tripdata.zip,True
202501-bluebikes-tripdata.zip,True
202502-bluebikes-tripdata.zip,True
202503-bluebikes-tripdata.zip,True
202504-bluebikes-tripdata.zip,True
202505-bluebikes-tripdata.zip,True
202506-bluebikes-tripdata.zip,True
202507-bluebikes-tripdata.zip,True
202508-bluebikes-tripdata.zip,False
202509-bluebikes-tripdata.zip,True
202510-bluebikes-tripdata.zip,True
